Title,combine,combine_pos_cnt,combine_neu_cnt,combine_neg_cnt
dynamite,"dynamite, bts",17200,151,1535
breakmyheart,"breakmyheart, dualipa",2633,712,370
whatthatspeedbout!?,"whatthatspeedbout!?, mikewillmade-it,nickiminaj,youngboyneverbrokeagain",1971,986,290
relacion,"relacion, sech,daddyyankee,jbalvin,rosalia,farruko",1667,73,12
blindinglights,"blindinglights, theweeknd",947,2,346
myhair,"myhair, arianagrande",835,626,283
motive,"motive, arianagrande,dojacat",835,626,283
safetynet,"safetynet, arianagrande,tydolla$ign",835,626,283
sixthirty,"sixthirty, arianagrande",835,626,283
obvious,"obvious, arianagrande",835,626,1
offthetable,"offthetable, arianagrande,theweeknd",835,626,283
justlikemagic,"justlikemagic, arianagrande",835,626,283
34+35,"34+35, arianagrande",835,626,283
midnightsky,"midnightsky, mileycyrus",795,1,312
golden,"golden, harrystyles",699,6205,150
holiday,"holiday, lilnasx",209,1,3
thereforeiam,"thereforeiam, billieeilish",208,1,70
24,"24, moneyman,lilbaby",149,99,55
laughnowcrylater,"laughnowcrylater, drake,lildurk",143,67,28
b.s.,"b.s., jheneaiko,h.e.r.",142,87,17
hitdifferent,"hitdifferent, sza,tydolla$ign",88,25,673
ihope,"ihope, gabbybarrett,charlieputh",81,1,25
beersandsunshine,"beersandsunshine, dariusrucker",77,12,4
myex'sbestfriend,"myex'sbestfriend, machinegunkelly,blackbear",77,87,88
thriller,"thriller, michaeljackson",73,2,49
milliondollarplay,"milliondollarplay, future,liluzivert",54,28,10
marnionme,"marnionme, future,liluzivert",54,28,10
realbabypluto,"realbabypluto, future,liluzivert",54,28,10
that'sit,"that'sit, future,liluzivert",54,28,10
sleepingonthefloor,"sleepingonthefloor, future,liluzivert",54,28,10
rockstarchainz,"rockstarchainz, future",54,28,10
drankinnsmokin,"drankinnsmokin, future,liluzivert",54,28,10
stripeslikeburberry,"stripeslikeburberry, future,liluzivert",54,28,10
boughtabadbitch,"boughtabadbitch, future,liluzivert",54,2,10
kings&queens,"kings&queens, avamax",44,8,4
staydown,"staydown, lildurk,6lack,youngthug",39,38,24
"f*ckyou,goodbye","f*ckyou,goodbye, thekidlaroi,machinegunkelly",39,25,65
sodone,"sodone, thekidlaroi",39,25,65
tragic,"tragic, thekidlaroi,youngboyneverbrokagain,internetmoney",39,25,1
alwaysdo,"alwaysdo, thekidlaroi",39,25,65
beforeyougo,"beforeyougo, lewiscapaldi",38,53,13
morethanmyhometown,"morethanmyhometown, morganwallen",36,3,5
7summers,"7summers, morganwallen",36,3,5
bettertogether,"bettertogether, lukecombs",32,15,3
hawai,"hawai, maluma,theweeknd",29,39,27
runnin,"runnin, 21savage,metroboomin",27,13,15
mr.rightnow,"mr.rightnow, 21savage,metroboomin,drake",27,13,15
mood,"mood, 24kgoldn,ianndior",24,17,12
adoreyou,"adoreyou, harrystyles",22,137,8
pov,"pov, arianagrande",21,11,7
champagnenight,"champagnenight, ladya",20,3,0
thick,"thick, djchose,beatking",20,18,21
gocrazy,"gocrazy, chrisbrown,youngthug",19,16,7
prettyheart,"prettyheart, parkermccollum",18,14,10
roses,"roses, saintjhn",17,7,1
wonder,"wonder, shawnmendes",16,13,4
heather,"heather, conangray",16,15,88
foreverafterall,"foreverafterall, lukecombs",16,56,2
lovin'onyou,"lovin'onyou, lukecombs",16,56,2
wap,"wap, cardib,megantheestallion",15,18,10
holeinthebottle,"holeinthebottle, kelseaballerini",15,7,3
watermelonsugar,"watermelonsugar, harrystyles",14,5,8
plastic,"plastic, future,liluzivert",14,5,5
don'tstop,"don'tstop, megantheestallion,youngthug",10,27,6
tylerherro,"tylerherro, jackharlow",10,35,11
whatspoppin,"whatspoppin, jackharlow,dababy,torylanez,lilwayne",10,1,1
practice,"practice, dababy",9,9,2
youbrokemefirst.,"youbrokemefirst., tatemcrae",8,1,4
dakiti,"dakiti, badbunny,jhaycortez",8,13,7
diamonds,"diamonds, samsmith",7,5,4
weeeeee,"weeeeee, trippieredd",7,8,0
rockstar,"rockstar, dababy,roddyricch",6,1,4
happydoes,"happydoes, kennychesney",6,1,0
gotwhatigot,"gotwhatigot, jasonaldean",6,4,0
wishingwell,"wishingwell, juicewrld",6,3,0
come&go,"come&go, juicewrld,marshmello",6,3,0
holy,"holy, justinbieber,chancetherapper",6,6,1
positions,"positions, arianagrande",5,23,2
happyanywhere,"happyanywhere, blakeshelton,gwenstefani",5,1,4
lonely,"lonely, justinbieber,bennyblanco",5,5,6
popstar,"popstar, djkhaled,drake",4,2,3
putyourrecordson,"putyourrecordson, rittmomney",4,0,0
nasty,"nasty, arianagrande",3,1,23
ain'talwaysthecowboy,"ain'talwaysthecowboy, jonpardi",3,0,1
don'tneedfriends,"don'tneedfriends, nav,lilbaby",3,1,1
ily,"ily, surfmesa,emilee",3,1,0
iris,"iris, phoebe,maggie",2,1,1
saidsum,"saidsum, moneybaggyo",2,0,0
alliwantforchristmasisyou,"alliwantforchristmasisyou, mariahcarey",2,2,28
whoopty,"whoopty, cj",2,0,1
forthenight,"forthenight, popsmoke,lilbaby,dababy",2,2,2
blind,"blind, dababy,youngthug",2,14,1
lemonade,"lemonade, internetmoney,gunna,dontoliver,nav",2,7,1
thewoo,"thewoo, popsmoke,50cent,roddyricch",2,2,2
whatyouknowboutlove,"whatyouknowboutlove, popsmoke",2,2,2
levitating,"levitating, dualipa,dababy",2,4,1
moodswings,"moodswings, popsmoke,liltjay",2,1,2
oneofthemgirls,"oneofthemgirls, leebrice",2,0,0
what'syourcountrysong,"what'syourcountrysong, thomasrhett",2,0,0
throatbaby(gobaby),"throatbaby(gobaby), brskash",2,0,0
u2luv,"u2luv, ne-yo,jeremih",2,2,1
takeyoudancing,"takeyoudancing, jasonderulo",1,26,5
startingover,"startingover, chrisstapleton",1,11,29
rags2riches,"rags2riches, rodwave,atrsonson",1,5,5
shutup,"shutup, arianagrande",1,6,1
goodtime,"goodtime, nikomoon",1,0,0
savagelove(laxed-sirenbeat),"savagelove(laxed-sirenbeat), jawsh685,jasonderulo",1,26,5
lovelanguage,"lovelanguage, arianagrande",1,626,283
somegirls,"somegirls, jamesonrodgers",1,0,0
franchise,"franchise, travisscott,youngthug,m.i.a.",1,2,5
crazystory2.0,"crazystory2.0, kingvon,lildurk",1,3,1
allthesen**gas,"allthesen**gas, kingvon,lildurk",1,3,1
kaceytalk,"kaceytalk, youngboyneverbrokeagain",1,0,0
thecode,"thecode, kingvon,polog",1,3,1
westside,"westside, arianagrande",1,1,1
tookhertotheo,"tookhertotheo, kingvon",1,3,1
tapin,"tapin, saweetie",1,3,1
loveyoulikeiusedto,"loveyoulikeiusedto, russelldickerson",0,0,0
rockin'aroundthechristmastree,"rockin'aroundthechristmastree, brendalee",0,0,0
youngwheezy,"youngwheezy, navwithgunna",0,0,0
latoxica,"latoxica, farruko",0,0,0
onebeer,"onebeer, hardy,laurenalaina,devindawson",0,0,0
martin&gina,"martin&gina, polog",0,0,1
bang!,"bang!, ajr",0,0,0
"big,bigplans","big,bigplans, chrislane",0,1,0
ishouldprobablygotobed,"ishouldprobablygotobed, dan+shay",0,0,0
everywherebuton,"everywherebuton, mattstell",0,0,0
belikethat,"belikethat, kanebrownwithswaelee,khalid",0,3,0
