,present_hashtags
bts,35101
dynamite,18930
golden,7089
wonder,299
holiday,216
harrystyles,194
thriller,124
positions,91
future,90
nickiminaj,79
justinbieber,66
thick,59
arianagrande,58
mileycyrus,54
mood,53
bettertogether,51
shawnmendes,51
megantheestallion,43
wap,43
theweeknd,39
pov,39
dualipa,29
badbunny,28
michaeljackson,27
lonely,26
nasty,26
roses,25
plastic,24
holy,22
adoreyou,22
practice,20
cardib,20
watermelonsugar,19
liluzivert,18
billieeilish,17
diamonds,12
travisscott,12
happyanywhere,11
rockstar,11
juicewrld,9
levitating,9
drake,8
shutup,8
kingvon,8
dojacat,8
thereforeiam,8
alliwantforchristmasisyou,7
popsmoke,7
21savage,7
gocrazy,6
popstar,6
charlieputh,6
mariahcarey,6
sza,5
blindinglights,5
tapin,5
maluma,4
lilbaby,4
roddyricch,4
lilnasx,4
ily,4
cj,3
jheneaiko,3
belikethat,3
startingover,3
torylanez,3
24kgoldn,3
marshmello,3
dababy,3
westside,3
chancetherapper,3
whatspoppin,2
moodswings,2
iris,2
lilwayne,2
50cent,2
machinegunkelly,2
moneybaggyo,2
youngthug,2
gwenstefani,2
jbalvin,2
lemonade,2
gunna,2
morganwallen,1
rags2riches,1
jackharlow,1
jhaycortez,1
midnightsky,1
thekidlaroi,1
blind,1
jawsh685,1
jeremih,1
heather,1
youngboyneverbrokeagain,1
ladya,1
avamax,1
tylerherro,1
blakeshelton,1
liltjay,1
phoebe,1
samsmith,1
takeyoudancing,1
saweetie,1
obvious,1
chrisbrown,1
jasonderulo,1
lovelanguage,1
chrislane,1
sech,1
nav,1
rodwave,1
lewiscapaldi,1
goodtime,1
moneyman,1
maggie,1
djkhaled,1
ihope,1
tragic,1
blackbear,1
polog,1
franchise,1
brskash,1
